Sprint,Bug ID,Bug Title,Who found,Platform,Functionality,How many times reproduced,Root Cause,Status,Priorities,Severity,Created Date,Changed Date,Time for solve
-,8619,The error occured while creation of wrapper template,QA,"AT Portal(prod), AT Portal(dev)",Wrapper Generator,1,,To Do,2 - High,3 - Medium,29.06.2023,06.07.2023,7
-,8631,Freshchat unread message counter fix in widget bubble,Customer,"AT Portal(prod), AT Portal(dev)",Freshchat,1,,To Do,2 - High,3 - Medium,29.06.2023,26.07.2023,27
238,8632,APE. App-V Gridmetric library error,QA,"AT Portal(prod), AT Portal(dev)",APE,1,,Closed,3 - Medium,3 - Medium,30.06.2023,06.09.2023,68
235,8640,"Double creation of revision increment after multiply pressing ""Restart"" button",QA,"OPS(dev), OPS(prod)",Autopackaging Restart,1,no check for this case,Closed,2 - High,3 - Medium,30.06.2023,26.07.2023,26
235,8642,Timetravel in Timeline,Managment,"AT Portal(prod), AT Portal(dev)",Timeline,1,,Closed,2 - High,3 - Medium,30.06.2023,09.08.2023,40
237,8644,AT Portal. Deployment type is not showed after switching,QA,"AT Portal(prod), AT Portal(dev)",SCCM,1,,Closed,2 - High,2 - High,03.07.2023,23.08.2023,51
234,8645,OPS: auto packager cannot create a package from source zip archive,Developer,"OPS(dev), OPS(prod)",Autopackaging,1,invalid extraction JS script,Closed,3 - Medium,3 - Medium,03.07.2023,05.07.2023,2
-,8692,Handle TransitionToReadyForTesting result,Developer,"OPS(dev), OPS(prod)",Autopackaging,1,,To Do,3 - Medium,3 - Medium,05.07.2023,05.07.2023,0
-,8695,The RDP doesn`t start at AT Portal VM,QA,"AT Portal(prod), AT Portal(dev)",RDP,1,,To Do,3 - Medium,3 - Medium,05.07.2023,06.07.2023,1
-,8697,The Push to remote clipboard isn`t working on the Discovery SS step,QA,"AT Portal(prod), AT Portal(dev)",Virtualization,1,,To Do,3 - Medium,3 - Medium,05.07.2023,06.07.2023,1
-,8698,"The Settings (TimeZone, Date Format, Time Format, Start day of week) isn`t worked properly on SSO Passport",QA,SSO Passport(dev),Settings,1,,Not reproduced,2 - High,3 - Medium,05.07.2023,06.07.2023,1
237,8702,AT Portal. Telerik table date filtering is not working,QA,"AT Portal(prod), AT Portal(dev)",Table,1,,Closed,3 - Medium,3 - Medium,06.07.2023,25.08.2023,50
-,8708,The Time Format isn`t properly displayed while changing Settings on the SSO Passport,QA,SSO Passport(dev),Settings,1,,To Do,3 - Medium,3 - Medium,06.07.2023,06.07.2023,0
-,8715,Delete mapping from Documentation links,QA,"AT Portal(prod), AT Portal(dev)",Documentation,1,,To Do,3 - Medium,3 - Medium,07.07.2023,07.07.2023,0
-,8741,The Download step can`t be disabled using SKU or Roles,QA,"AT Portal(prod), AT Portal(dev)",Download,1,,To Do,2 - High,3 - Medium,11.07.2023,11.07.2023,0
235,8746,"""load directly to intenet""",Managment,"AT Portal(prod), AT Portal(dev)",Wording,1,deleted Translation Service during performance improvment,Closed,2 - High,3 - Medium,12.07.2023,09.08.2023,28
